,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,likes,uni_handle,compound,Sentiment,score
172,Alliance University Hosted Bangalore Blockchain Summit 2019 – Business Standard https://bangaloreinformer.com/79621/alliance-university-hosted-bangalore-blockchain-summit-2019-business-standard/ …,Bangalore Informer,1158903754319630336,2019-08-07 00:52:41,[],bangaloreinform,0,0,,0.0,Neutral,3
173,"Alliance University,Christ University,Jain University,ms Ramaiah,St Joseph Bangalore",చిన్నయ్య తారక్ ☮️,1158745330390720512,2019-08-06 14:23:09,[],LostProphet_,0,0,,0.0,Neutral,3
174,Alliance University Hosted Bangalore Blockchain Summit 2019 – THE WEEK https://bangaloreinformer.com/79558/alliance-university-hosted-bangalore-blockchain-summit-2019-the-week/ …,Bangalore Informer,1158648204428230656,2019-08-06 07:57:13,[],bangaloreinform,0,0,,0.0,Neutral,3
175,Alliance #University Hosted #Bangalore #BlockchainSummit2019 https://www.devdiscourse.com/article/business/624301-alliance-university-hosted-bangalore-blockchain-summit-2019 …,Devdiscourse,1158642701505564672,2019-08-06 07:35:21,"['University', 'Bangalore', 'BlockchainSummit2019']",dev_discourse,0,0,,0.0,Neutral,3
176,"EdTechReview is happy to announce ALLIANCE UNIVERSITY as University Partner at the HIGHER EDUCATION TECH CONFERENCE 2019. Meet the ALLIANCE UNIVERSITY team at Taj MG Road Bengaluru on 29 Aug, 2019. Apply to become a partner : https://bit.ly/2JA9dxv  #hetc19 #etr19 #edtechpic.twitter.com/mA29q1isra",EdTechReview,1157659914904440832,2019-08-03 14:30:06,"['hetc19', 'etr19', 'edtechpic']",etr_in,0,0,,0.5719,Positive,4
177,"Last call for Nepalese students from Alliance University Bangalore!
 
Merit Scholarship based admissions from India’s 7th Best Private University.
Ranked 7th Best Private University in India (India Today)... https://www.facebook.com/100000137988758/posts/2830768076937764/ …",Aryan,1161332150001496064,2019-08-13 17:42:15,[],upretyaryan,0,0,,0.9098,Positive,5
178,"Come & meet ALLIANCE UNIVERSITY team at the HIGHER EDUCATION TECH CONFERENCE 2019, Bengaluru 29 August, & discuss how they are helping institutions, Know more at https://bit.ly/2Otqblh  #hetc19 #etr19 #edtech #education #elearning #edchat #21stedchat #edleaders #india #edappspic.twitter.com/nM86ahYA5z",EdTechReview,1161223430181720064,2019-08-13 10:30:14,"['hetc19', 'etr19', 'edtech', 'education', 'elearning', 'edchat', '21stedchat', 'edleaders', 'india', 'edappspic']",etr_in,0,1,,0.296,Positive,4
179,"Proud to be an alumna of one Big10 Academic Alliance university, and an employee of another! https://twitter.com/BigTenAcademic/status/1156653538719629313 …",KimMe,1159815731648892928,2019-08-09 13:16:33,[],rappwoman,0,0,,0.5255,Positive,4
180,"#NammaBengaluru is ranked 1st in India and 81st in the world in the QS @TopUnis Best Student Cities 2019 survey. We feel ecstatic as we pay our tribute to this city and nominate @IIM_Bangalore, @PESUniversity, @SIBMBengaluru, Alliance University Bangalore, @JainUniversity, (1/2)","IFIM Business School, Bangalore",1159443648628420608,2019-08-08 12:38:01,['NammaBengaluru'],IFIMBSchool,0,1,,0.7964,Positive,5
181,Alliance University Hosted Bangalore Blockchain Summit 2019 https://thefintechbuzz.com/latest-news/2019/08/07/2582/alliance-university-hosted-bangalore-blockchain-summit-2019/ …pic.twitter.com/y1k3oLBFeR,TheFintechBuzz,1159049210878185472,2019-08-07 10:30:40,[],RealFintechBuzz,0,1,,0.0,Neutral,3
182,Alliance University Hosted Bangalore Blockchain Summit 2019 https://theblockchainexaminer.com/blockchain/2019/08/07/2855/alliance-university-hosted-bangalore-blockchain-summit-2019/ …pic.twitter.com/OcMEE5J5yF,TheBlockchainExaminer,1159046758925766656,2019-08-07 10:20:56,[],P2P_examiner,0,0,,0.0,Neutral,3
183,Alliance University Hosted Bangalore Blockchain Summit 2019 https://picante.today/latest-news/2019/08/07/67536/alliance-university-hosted-bangalore-blockchain-summit-2019/ …pic.twitter.com/GKAA2Kh18B,PICANTE News,1159046517975650304,2019-08-07 10:19:58,[],Picante_Media,0,0,,0.0,Neutral,3
184,"IAM Platform Curated Tweet:

Alliance University Hosted Bangalore Blockchain Summit 2019 – Business Standard 

https://blog.iammarketingmedia.com/alliance-university-hosted-bangalore-blockchain-summit-2019-business-standard/?utm_campaign=blockchain&utm_medium=twitter&utm_source=twitter …
#TopInfluence
#blockchain #DistributedNetwork",IAM Platform,1158984821475094528,2019-08-07 06:14:48,"['TopInfluence', 'blockchain', 'DistributedNetwork']",IAM__Network,0,0,,0.0,Neutral,3
185,Alliance University Hosted Bangalore Blockchain Summit 2019 – Business Standard https://bangaloreinformer.com/79621/alliance-university-hosted-bangalore-blockchain-summit-2019-business-standard/ …,Bangalore Informer,1158903754319630336,2019-08-07 00:52:41,[],bangaloreinform,0,0,,0.0,Neutral,3
186,"Alliance University,Christ University,Jain University,ms Ramaiah,St Joseph Bangalore",చిన్నయ్య తారక్ ☮️,1158745330390720512,2019-08-06 14:23:09,[],LostProphet_,0,0,,0.0,Neutral,3
187,Alliance University Hosted Bangalore Blockchain Summit 2019 – THE WEEK https://bangaloreinformer.com/79558/alliance-university-hosted-bangalore-blockchain-summit-2019-the-week/ …,Bangalore Informer,1158648204428230656,2019-08-06 07:57:13,[],bangaloreinform,0,0,,0.0,Neutral,3
188,Alliance #University Hosted #Bangalore #BlockchainSummit2019 https://www.devdiscourse.com/article/business/624301-alliance-university-hosted-bangalore-blockchain-summit-2019 …,Devdiscourse,1158642701505564672,2019-08-06 07:35:21,"['University', 'Bangalore', 'BlockchainSummit2019']",dev_discourse,0,0,,0.0,Neutral,3
189,"EdTechReview is happy to announce ALLIANCE UNIVERSITY as University Partner at the HIGHER EDUCATION TECH CONFERENCE 2019. Meet the ALLIANCE UNIVERSITY team at Taj MG Road Bengaluru on 29 Aug, 2019. Apply to become a partner : https://bit.ly/2JA9dxv  #hetc19 #etr19 #edtechpic.twitter.com/mA29q1isra",EdTechReview,1157659914904440832,2019-08-03 14:30:06,"['hetc19', 'etr19', 'edtechpic']",etr_in,0,0,,0.5719,Positive,4
190,"7 Interesting Facts about Alliance University That You Might Not Know

#StuCred #InterestingFacts #Facts #Alliance #StuCredBlog
http://www.stucredblog.com/facts-about-alliance-university/ …",StuCred,1172436963489542144,2019-09-13 09:08:49,"['StuCred', 'InterestingFacts', 'Facts', 'Alliance', 'StuCredBlog']",stucred,0,1,,0.4019,Positive,4
191,Vacancy for Library Graduate Trainee in Alliance University Bengaluru https://goo.gl/fb/rKDqmQ ,LISLINKS,1172407026749566976,2019-09-13 07:09:52,[],LISLINKS,0,0,,0.0,Neutral,3
192,"Today we enjoyed a fun Human ResourcesClub activity all thanks to our HRaise Club of Alliance University, Bangalore,we organized a fun milestone setting session, a fun tower building team competition, poster making to recruit the best candidates and an HRquiz, fun and educationa pic.twitter.com/qrTkrFWaee",Devansh Bhalla,1172111508479692800,2019-09-12 11:35:35,[],DevanshBhalla3,0,0,,0.9738,Positive,5
193,"Some throwback pictures from #ethnicday on 4 and 6 September in #allianceuniversity

#greattimewithfriends @ Alliance University https://www.instagram.com/p/B2NEtROhUOW0OYjIHR72m_G2LlrFsrRka6aRas0/?igshid=1nl93504b7g5s …",Nishu Lohiya,1171162082944933888,2019-09-09 20:42:54,"['ethnicday', 'allianceuniversity', 'greattimewithfriends']",NishuLohiya06,0,1,,0.0,Neutral,3
194,"After a successful fair in Bangalore, FPP visited Alliance University, a private university ranked among the top 10 in India.  

Next stop: Mumbai!

Please follow the link for more information this event and our tour in India - https://www.facebook.com/fppedumedia/?eid=ARBSza3axDreFy49ZUWDMHYGr0KKI2t8k0IyFSoR8QSo7ChAjj7mnkTmszqi-dFiw25I5FkrQ9rtyRij …pic.twitter.com/0JEB7BXeU5",FPPEDUMedia,1170001919349313536,2019-09-06 15:52:49,[],FPPEDUMedia,0,0,,0.807,Positive,5
195,Alliance school of Law Reviews | Alliance University Law Reviews | @scoopithttp://sco.lt/8P7YmW ,IES,1169923357044805632,2019-09-06 10:40:39,[],IES8,0,0,,0.0,Neutral,3
196,Alliance school of Law Reviews | Alliance University Law Reviews | @scoopit http://sco.lt/6zYJ9c ,IES,1169923273712386048,2019-09-06 10:40:19,[],IES8,0,0,,0.0,Neutral,3
197,Alliance Law College Courses | Alliance University Law Courses | @scoopithttp://sco.lt/5ybSwi ,IES,1169857636923129856,2019-09-06 06:19:30,[],IES8,0,0,,0.0,Neutral,3
198,Alliance Law College Courses | Alliance University Law Courses | @scoopit http://sco.lt/4iGB2u ,IES,1169856681305505792,2019-09-06 06:15:42,[],IES8,0,0,,0.0,Neutral,3
199,Schneider Electric is pleased to present on the #commercialrealestate retrofit opportunity presented through #digitization at the Smart Building Alliance University d'Ete event in Brussels today.  #smartbuilding https://www.smartbuildingsalliance.org/evenement/universites-dete-smart-buildings-for-smart-cities/ … @cpcrossanpic.twitter.com/Sv0gTEvfcj,Kim Tremblay,1169615099281203200,2019-09-05 14:15:44,"['commercialrealestate', 'digitization', 'smartbuilding']",kimdtremblay,3,9,,0.8126,Positive,5
