,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,uni_handle,compound,Sentiment
55,"#PESSAT is being conducted by @PESUniversity Bangalore for admissions into Engineering and other UG courses, 

To know more about the #PESSAT syllabus & previous year question papers

Links:
Youtube http://bit.ly/2LTobzA  
Website link:http://bit.ly/2XYhmTYo0 ",Youth4workPrep,1150985911984721920,2019-07-16 04:30:00,"['PESSAT', 'PESSAT']",Prep_Tests,1,0.0,0.0,Neutral
56,"Bhaarat Chetty, attends Google’s annual developer conference, Google I/O - at California, United States from May 7-9, 2019. He returned to India after his 3-week long stay in USA. https://news.pes.edu/ pic.twitter.com/UoZihbKW1T",PES University,1135567085134798848,2019-06-03 15:21:05,[],PESUniversity,0,1.0,0.4215,Positive
57,Congratulations to all the @PESUniversity student contest winners! #AIforall,nikhilbaba,1135407669831823360,2019-06-03 04:47:37,['AIforall'],nikhilbaba,0,0.0,0.807,Positive
58,What was it ?,B A B R O O - W A H E N,1135113600765313024,2019-06-02 09:19:06,[],BabrooWahen,0,0.0,0.0,Neutral
59,You scums started it,Tenali Raman,1135100115927150592,2019-06-02 08:25:31,[],molet816,0,0.0,0.0,Neutral
60,May be a management Quota student. No  study only money,Ullas Haritasa,1135098353514033152,2019-06-02 08:18:31,[],ullasharithsa,0,0.0,-0.296,Negative
61,Congratulations to the teams @kishramisetty,Raghavendra Bhat,1134853921904553984,2019-06-01 16:07:14,[],raghusbhat,0,0.0,0.5994,Positive
62,Congratulations to the teams @kishramisetty,Raghavendra Bhat,1134853620128595968,2019-06-01 16:06:02,[],raghusbhat,0,0.0,0.5994,Positive
63,"End of Day 1 of #PESSAT 2019 Counseling & Admission, check out the available seats below. Candidates who are interested in the below available seats can attend the counseling on June 2 (Day 2). More info: https://bit.ly/2Z4A6OK pic.twitter.com/rEs9y5O50l",PES University,1134839204242792448,2019-06-01 15:08:45,['PESSAT'],PESUniversity,0,1.0,0.4019,Positive
64,"Congratulations to the winners of @IntelIndia - PESU Student Contest. Most Innovative submission winners Nandagopal Vinayak, Maanvi Nunna and Malaika Vijay for their submission on Drowsiness Detection. #IntelIndiapic.twitter.com/sidMWV5eOZ",PES University,1134816331507703808,2019-06-01 13:37:51,['IntelIndiapic'],PESUniversity,4,1.0,0.9268,Positive
65,"Congratulations to the winners of @IntelIndia - PESU Student Contest. Best completed submission runners-up Madhav Kashyap, Anuj Tambwekar and Rohit Menon for their submission on Q&A using NLP. #IntelIndia",PES University,1134816103237005312,2019-06-01 13:36:57,['IntelIndia'],PESUniversity,1,1.0,0.9042,Positive
66,"Congratulations to the winners of @IntelIndia - PESU Student Contest. Best completed submission winners Anush Kini, Rajath S and Sumukh Aithal for their submission on ADAS Object detection in low light. #IntelIndiapic.twitter.com/qhuJceAXxa",PES University,1134815717830713344,2019-06-01 13:35:25,['IntelIndiapic'],PESUniversity,0,1.0,0.9217,Positive
67,"Bhaarat Chetty, attends Google’s annual developer conference, Google I/O - at California, United States from May 7-9, 2019. He returned to India after his 3-week long stay in USA. https://news.pes.edu/ pic.twitter.com/UoZihbKW1T",PES University,1135567085134798848,2019-06-03 15:21:05,[],PESUniversity,0,1.0,0.4215,Positive
68,Congratulations to all the @PESUniversity student contest winners! #AIforall,nikhilbaba,1135407669831823360,2019-06-03 04:47:37,['AIforall'],nikhilbaba,0,0.0,0.807,Positive
69,What was it ?,B A B R O O - W A H E N,1135113600765313024,2019-06-02 09:19:06,[],BabrooWahen,0,0.0,0.0,Neutral
70,You scums started it,Tenali Raman,1135100115927150592,2019-06-02 08:25:31,[],molet816,0,0.0,0.0,Neutral
71,May be a management Quota student. No  study only money,Ullas Haritasa,1135098353514033152,2019-06-02 08:18:31,[],ullasharithsa,0,0.0,-0.296,Negative
72,Congratulations to the teams @kishramisetty,Raghavendra Bhat,1134853921904553984,2019-06-01 16:07:14,[],raghusbhat,0,0.0,0.5994,Positive
73,Congratulations to the teams @kishramisetty,Raghavendra Bhat,1134853620128595968,2019-06-01 16:06:02,[],raghusbhat,0,0.0,0.5994,Positive
74,"End of Day 1 of #PESSAT 2019 Counseling & Admission, check out the available seats below. Candidates who are interested in the below available seats can attend the counseling on June 2 (Day 2). More info: https://bit.ly/2Z4A6OK pic.twitter.com/rEs9y5O50l",PES University,1134839204242792448,2019-06-01 15:08:45,['PESSAT'],PESUniversity,0,1.0,0.4019,Positive
75,"Congratulations to the winners of @IntelIndia - PESU Student Contest. Most Innovative submission winners Nandagopal Vinayak, Maanvi Nunna and Malaika Vijay for their submission on Drowsiness Detection. #IntelIndiapic.twitter.com/sidMWV5eOZ",PES University,1134816331507703808,2019-06-01 13:37:51,['IntelIndiapic'],PESUniversity,4,1.0,0.9268,Positive
