,Tweet_text,date,username,retweets,uni_handle,compound,Sentiment
49,"Really respect you , but felt so funny to see this tweet congratulating tops by you! Unfortunately, I have seen your staff spitting in university Almirah which is used to keep certificate's formats. Being as an university it must be your responsibility to be better always.",2020-06-12 08:14:29+00:00,cri8ing1,0,0.0,0.93,Positive
50,"Union HRD Minister @DrRPNishank e-released the National Institutional Ranking Framework (#NIRF) India Rankings 2020. Under the 'Engineering' category of (#NIRF) India Rankings 2020, @iitmadras claimed the 1st spot followed by @iitdelhi and @iitbombay https://bit.ly/NIRF-Engineering",2020-06-12 08:05:55+00:00,CounsellinGurus,0,0.0,0.0,Neutral
51,India created a INR 7000 Cr industry of PPE suits in the span of 2-3 months. Indian engineering has the ability to solve bigger problems by bringing out economically viable products and solutions! @iitdelhi @iitmadras @iitbombay,2020-06-12 08:01:24+00:00,Jyothi_DJ,0,0.0,0.5255,Positive
52,"Congratulations to All Top Rank (Overall) Institutions of Higher Education. 1.@iitmadras 2.@iiscbangalore 3.@iitdelhi 4.@iitbombay 5.@IITKgp 6.@IITKanpur 7.@IITGuwahati 8.#JNU 9.@iitroorkee 10.@VCofficeBHU Wishes on the befalf of Prof. RR Yadav, Hon'ble VC of @vbspu_official",2020-06-12 07:58:46+00:00,vbspu_official,5,0.0,0.743,Positive
53,"Glad to see no Indian universities in top 100, while even Chinese are able to get.#QSWorldUniversityRankings",2020-06-12 07:57:00+00:00,nhk_varma,0,0.0,0.3818,Positive
54,"Indian Institute of Science (IISc), Bengaluru took the second spot while IIT Delhi was ranked third in the overall category. IISC was ranked first in the university category while Indian Institute of Ahmadabad topped in the management category. #RhythmClasses",2020-06-12 07:41:16+00:00,RhythmClassess,0,0.0,0.0,Neutral
55,"#RegisterNow #webinar #stress #work #life ,#personal #productivity on 18 June 11am @webinars_india @HR_SPI @Mag_HR @MIT_HR @CFR_HR @hrlagallery @webiplay @hrposts @HRDMinistry @FMS_Delhi @IIMAhmedabad @AIUIndia @ONGC_ @NPC_INDIA_GOV @SriSri @SriSriU @iitdelhi ",2020-06-12 07:29:24+00:00,Drrajats,6,0.0,-0.4215,Negative
56,Tech #excellence | @iitmadras tightens its grip as the top educational institution in the country while @iiscbangalore and @iitdelhi take the 2nd and 3rd spot as per the Human Resource Development ministry’s @HRDMinistry ranking of Indian colleges and universities.,2020-06-12 06:33:56+00:00,ACImagazine,0,0.0,0.7096,Positive
57,"@covid19indiaorg Bug Report! While changing the state from state page, only stats get updated and the map remains unchanged. Please have a look once. Anyways, kudos to your great work so far ",2020-06-12 06:20:52+00:00,IitdelhiAtul,0,0.0,0.8748,Positive
58,"due to covid 19, promote to all student ...health is first ..",2020-06-12 06:00:59+00:00,Priyans64923147,0,0.0,0.3818,Positive
