id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURjak9iNmR3EAE,,2 months ago,2020-08-01 15:20:11.529787,4.0,Pooja Anchan,2,0,https://www.google.com/maps/contrib/106611717313500328956?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjak5qRk1REAE,Good Institute in India. Good research facillties and Infrastructure.,2 months ago,2020-08-01 15:20:11.530642,5.0,kodari rajkumar,3,0,https://www.google.com/maps/contrib/101879859741196880999?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjOVBEOTVRRRAB,,2 months ago,2020-08-01 15:20:11.531582,1.0,harshitha sanil,0,0,https://www.google.com/maps/contrib/103573232411674569431?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjbE1ybDJBRRAB,,2 months ago,2020-08-01 15:20:11.532433,5.0,Dishan D,1,0,https://www.google.com/maps/contrib/109400416445527186227?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjbEt5Q2FREAE,,2 months ago,2020-08-01 15:20:11.533369,3.0,Rajath Kulal,2,0,https://www.google.com/maps/contrib/106683334976490499040?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUN3eTQyeWx3RRAB,,2 months ago,2020-08-01 15:20:11.534229,5.0,Shreyas M R,0,0,https://www.google.com/maps/contrib/103645913065598177155?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjeE9IU2VnEAE,Absolutely Great place for a Great Career,2 months ago,2020-08-01 15:20:11.535085,5.0,Prashanth Guru Prasad,0,0,https://www.google.com/maps/contrib/112986378637467007017?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjaE5uTlRnEAE,,2 months ago,2020-08-01 15:20:11.535931,5.0,goneare thosedays,3,0,https://www.google.com/maps/contrib/108707370257610764388?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjaEo3WjB3RRAB,,2 months ago,2020-08-01 15:20:11.536780,5.0,YATHIN DEVADIGA,1,0,https://www.google.com/maps/contrib/110571063649622590066?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjbUtyVGl3RRAB,,2 months ago,2020-08-01 15:20:18.235267,5.0,kiran kumar,0,0,https://www.google.com/maps/contrib/108713704549541989891?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjbVBETFp3EAE,,2 months ago,2020-08-01 15:20:18.236844,5.0,maltesh devadiga,0,0,https://www.google.com/maps/contrib/103541119494769610547?hl=en-IN
